OficialID;foreignkey;prefix;prefixurl
1421;bconpm;cathie;https://www.catholic-hierarchy.org/bishop/
1422;19693;GCath;
1422;bdeaguir;cathie;https://www.catholic-hierarchy.org/bishop/
1423;19694;GCath;
1423;bderivera;cathie;https://www.catholic-hierarchy.org/bishop/
1424;19695;GCath;
1424;brpo;cathie;https://www.catholic-hierarchy.org/bishop/
1425;19696;GCath;
1425;bcueda;cathie;https://www.catholic-hierarchy.org/bishop/
1426;19697;GCath;
1426;316444252;viaf;https://viaf.org/viaf/
1426;bzagade;cathie;https://www.catholic-hierarchy.org/bishop/
1427;19698;GCath;
1427;blopezdea;cathie;https://www.catholic-hierarchy.org/bishop/
1428;19699;GCath;
1428;bdemanoza;cathie;https://www.catholic-hierarchy.org/bishop/
1429;19700;GCath;
1429;bdelavega;cathie;https://www.catholic-hierarchy.org/bishop/
1430;19701;GCath;
1430;bverdc;cathie;https://www.catholic-hierarchy.org/bishop/
1431;19702;GCath;
1431;bpdls;cathie;https://www.catholic-hierarchy.org/bishop/
1432;19703;GCath;
1432;bguerrag;cathie;https://www.catholic-hierarchy.org/bishop/
1433;19704;GCath;
1433;bsanmm;cathie;https://www.catholic-hierarchy.org/bishop/
1434;19705;GCath;
1434;bferndb;cathie;https://www.catholic-hierarchy.org/bishop/
1435;19706;GCath;
1435;bmont;cathie;https://www.catholic-hierarchy.org/bishop/
1436;19707;GCath;
1436;64826962;viaf;https://viaf.org/viaf/
1436;bzum;cathie;https://www.catholic-hierarchy.org/bishop/
1437;19710;GCath;
1437;bdlr;cathie;https://www.catholic-hierarchy.org/bishop/
1438;19711;GCath;
1438;bdehoyos;cathie;https://www.catholic-hierarchy.org/bishop/
1439;19712;GCath;
1439;bsantag;cathie;https://www.catholic-hierarchy.org/bishop/
1440;19713;GCath;
1440;beliz;cathie;https://www.catholic-hierarchy.org/bishop/
1441;19714;GCath;
1441;bvalvj;cathie;https://www.catholic-hierarchy.org/bishop/
1442;19715;GCath;
1442;bescal;cathie;https://www.catholic-hierarchy.org/bishop/
1443;19716;GCath;
1443;btruxillo;cathie;https://www.catholic-hierarchy.org/bishop/
1444;19717;GCath;
